date,total_cases,new_cases,total_deaths,new_deaths,hosp_patients,recover,beta,gamma,ds,di,dr,S,I,R,initial populatuion 
7/1/2020,26410,972,330,3,333,98,,,-972,972,98,"9,201,192",,,"9,227,700"
7/2/2020,27556,1146,331,1,345,127,,,-1146,1146,127,"9,199,919",,,
7/3/2020,28495,939,334,3,360,116,,,-939,939,116,"9,198,864",,,
7/4/2020,29316,821,339,5,370,76,,,-821,821,76,"9,197,967",,,
7/5/2020,30147,831,341,2,428,144,,,-831,831,144,"9,196,992",,,
7/6/2020,31281,1134,349,8,450,193,,,-1134,1134,193,"9,195,665",,,
7/7/2020,32671,1390,354,5,469,173,,,-1390,1390,173,"9,194,102",,,
7/8/2020,33998,1327,359,5,496,226,,,-1327,1327,226,"9,192,549",,,
7/9/2020,35523,1525,364,5,553,227,,,-1525,1525,227,"9,190,797",,,
7/10/2020,36932,1409,368,4,563,213,,,-1409,1409,213,"9,189,175",,,
7/11/2020,38100,1168,373,5,569,191,,,-1168,1168,191,"9,187,816",,,
7/12/2020,39338,1238,380,7,644,338,,,-1238,1238,338,"9,186,240",,,
7/13/2020,41058,1720,384,4,658,363,,,-1720,1720,363,"9,184,157",,,
7/14/2020,42662,1604,391,7,644,313,,,-1604,1604,313,"9,182,240",,,
7/15/2020,44539,1877,397,6,682,362,,,-1877,1877,362,"9,180,001",,,
7/16/2020,46478,1939,406,9,693,507,,,-1939,1939,507,"9,177,555",,,
7/17/2020,48083,1605,418,12,707,481,,,-1605,1605,481,"9,175,469",,,
7/18/2020,49531,1448,426,8,714,448,,,-1448,1448,448,"9,173,573",,,
7/19/2020,50547,1016,436,10,828,520,,,-1016,1016,520,"9,172,037",,,
7/20/2020,52434,1887,448,12,824,627,,,-1887,1887,627,"9,169,523",,,
7/21/2020,54440,2006,457,9,811,642,,,-2006,2006,642,"9,166,875",,,
7/22/2020,56484,2044,463,6,807,3729,,,-2044,2044,3729,"9,161,102",,,
7/23/2020,58474,1990,479,16,824,6768,,,-1990,1990,6768,"9,152,344",,,
7/24/2020,60304,1830,487,8,816,1607,,,-1830,1830,1607,"9,148,907",,,
7/25/2020,61416,1112,494,7,819,592,,,-1112,1112,592,"9,147,203",,,
7/26/2020,62458,1042,505,11,894,2739,,,-1042,1042,2739,"9,143,422",,,
7/27/2020,64506,2048,512,7,919,1770,,,-2048,2048,1770,"9,139,604",,,
7/28/2020,66631,2125,520,8,904,1563,,,-2125,2125,1563,"9,135,916",,,
7/29/2020,68585,1954,535,15,895,1409,,,-1954,1954,1409,"9,132,553",,,
7/30/2020,70372,1787,550,15,865,1685,,,-1787,1787,1685,"9,129,081",,,
7/31/2020,71734,1362,564,14,862,1297,,,-1362,1362,1297,"9,126,422",,,
8/1/2020,72359,625,578,14,870,533,,,-625,625,533,"9,125,264",,,
8/2/2020,73067,708,589,11,947,2448,,,-708,708,2448,"9,122,108",,,
8/3/2020,74867,1800,604,15,922,1803,,,-1800,1800,1803,"9,118,505",,,
8/4/2020,76596,1729,615,11,888,1647,,,-1729,1729,1647,"9,115,129",,,
8/5/2020,78286,1690,625,10,902,1484,,,-1690,1690,1484,"9,111,955",,,
8/6/2020,79963,1677,634,9,885,1754,,,-1677,1677,1754,"9,108,524",,,
8/7/2020,81727,1764,646,12,888,1215,,,-1764,1764,1215,"9,105,545",,,
8/8/2020,82481,754,659,13,902,608,,,-754,754,608,"9,104,183",,,
8/9/2020,83405,924,666,7,1004,2346,,,-924,924,2346,"9,100,913",,,
8/10/2020,85109,1704,681,15,939,1392,,,-1704,1704,1392,"9,097,817",,,
8/11/2020,86932,1823,692,11,903,983,,,-1823,1823,983,"9,095,011",,,
8/12/2020,88554,1622,707,15,879,1135,,,-1622,1622,1135,"9,092,254",,,
8/13/2020,90197,1643,723,16,890,1311,,,-1643,1643,1311,"9,089,300",,,
8/14/2020,91585,1388,735,12,890,985,,,-1388,1388,985,"9,086,927",,,
8/15/2020,92342,757,745,10,921,564,,,-757,757,564,"9,085,606",,,
8/16/2020,93410,1068,764,19,989,2220,,,-1068,1068,2220,"9,082,318",,,
8/17/2020,95060,1650,768,4,948,1197,,,-1650,1650,1197,"9,079,471",,,
8/18/2020,96709,1649,782,14,956,1120,,,-1649,1649,1120,"9,076,702",,,
8/19/2020,98349,1640,794,12,923,1477,,,-1640,1640,1477,"9,073,585",,,
8/20/2020,99836,1487,806,12,927,1438,,,-1487,1487,1438,"9,070,660",,,
8/21/2020,101329,1493,819,13,922,1041,,,-1493,1493,1041,"9,068,126",,,
8/22/2020,102040,711,829,10,937,666,,,-711,711,666,"9,066,749",,,
8/23/2020,103005,965,842,13,1022,2128,,,-965,965,2128,"9,063,656",,,
8/24/2020,104905,1900,858,16,1028,1402,,,-1900,1900,1402,"9,060,354",,,
8/25/2020,106861,1956,877,19,995,796,,,-1956,1956,796,"9,057,602",,,
8/26/2020,108814,1953,888,11,1021,3658,,,-1953,1953,3658,"9,051,991",,,
8/27/2020,110885,2071,899,11,1015,1521,,,-2071,2071,1521,"9,048,399",,,
8/28/2020,112717,1832,911,12,972,1836,,,-1832,1832,1836,"9,044,731",,,
8/29/2020,113627,910,916,5,970,712,,,-910,910,712,"9,043,109",,,
8/30/2020,114728,1101,930,14,1084,2288,,,-1101,1101,2288,"9,039,720",,,
8/31/2020,116906,2178,953,23,1081,1479,,,-2178,2178,1479,"9,036,063",,,
9/1/2020,119158,2252,968,15,1025,1008,,,-2252,2252,1008,"9,032,803",,,
9/2/2020,122351,3193,982,14,1000,1403,,,-3193,3193,1403,"9,028,207",,,
9/3/2020,125012,2661,998,16,996,1804,,,-2661,2661,1804,"9,023,742",,,
9/4/2020,127635,2623,1010,12,988,1199,,,-2623,2623,1199,"9,019,920",,,
9/5/2020,129140,1505,1025,15,1005,895,,,-1505,1505,895,"9,017,520",,,
9/6/2020,131317,2177,1037,12,1130,2404,,,-2177,2177,2404,"9,012,939",,,
9/7/2020,134705,3388,1054,17,1120,1599,,,-3388,3388,1599,"9,007,952",,,
9/8/2020,138194,3489,1074,20,1144,1442,,,-3489,3489,1442,"9,003,021",,,
9/9/2020,142190,3996,1089,15,1154,1470,,,-3996,3996,1470,"8,997,555",,,
9/10/2020,146351,4161,1103,14,1180,1981,,,,,,,,,
